regime,order,n,reps,fail_rate,orth_err_median,orth_err_p90,hankel_cond_median,rel_signal_err_emp_vs_oracle_median,rel_signal_err_p90
uniform_platykurtic,6,20000,200,0.0,0.016519715495037647,0.02350569887582423,9637.192270867394,0.022390719045377497,0.046537156165354435
symmetric_contaminated,2,250,200,0.0,0.5695642910831686,2.3851767401337427,7.624272315492741,0.22776895774921294,0.4717821741985865
symmetric_contaminated,2,500,200,0.0,0.3740021494481164,1.4030232443473205,7.864707448758445,0.156495102349073,0.3876776488770775
symmetric_contaminated,2,1000,200,0.0,0.27044256893913055,0.6205433908335932,8.130761602140623,0.13298375974632665,0.3133440246392707
symmetric_contaminated,2,2500,200,0.0,0.1663979279151997,0.38227880138488424,7.893814598355612,0.0776074222813202,0.17745403151884626
symmetric_contaminated,2,5000,200,0.0,0.10825611601332497,0.2823492500717711,8.031549325264358,0.05642846165606308,0.11561699204481184
symmetric_contaminated,2,20000,200,0.0,0.057828145102492845,0.1277486835892661,8.073654017863525,0.0268869155514362,0.0642028751787389
symmetric_contaminated,3,250,200,0.0,3.577321963720619,21.416290800139635,184.4834679655171,0.47504588420512184,0.9104237735049977
symmetric_contaminated,3,500,200,0.0,1.5116674254143978,7.720394994033108,217.05089327720418,0.40933324690564477,0.7007122026709715
symmetric_contaminated,3,1000,200,0.0,0.6384543665930504,2.708191567567838,250.67563398733117,0.3217606411086528,0.6261567620156582
symmetric_contaminated,3,2500,200,0.0,0.4072680151832514,1.2587116662813256,242.1722904924673,0.21566569043199285,0.42486517501484883
symmetric_contaminated,3,5000,200,0.0,0.27344746846654727,0.6194640443103617,263.8889550217698,0.16054850101999074,0.32678285712401495
symmetric_contaminated,3,20000,200,0.0,0.14647855547782557,0.30648447364742215,255.9669250819684,0.08218457889158619,0.16266692014336206
symmetric_contaminated,4,250,200,0.0,27.57207157697721,372.54483099135865,3773.8395867345203,0.6987753181405488,1.135892519172847
symmetric_contaminated,4,500,200,0.0,7.507220730102742,56.405034809751825,5167.246941607917,0.6031922644559126,1.075074822812922
symmetric_contaminated,4,1000,200,0.0,3.5523309565610393,15.809245336456724,5996.93534965273,0.5200240978296204,0.9247524269963592
symmetric_contaminated,4,2500,200,0.0,1.3959877762060615,5.61998662675051,6859.262458905185,0.41398071259975666,0.757196561100952
symmetric_contaminated,4,5000,200,0.0,0.6842950332425446,2.2882204335449607,6794.434161491064,0.3160992530074609,0.59405519003607
symmetric_contaminated,4,20000,200,0.0,0.36801225566457174,0.9196889895502088,6979.615841870032,0.19774895062624198,0.40884932560224985
symmetric_contaminated,5,250,200,0.0,341.0990805400214,4440.127914662345,114157.37864170343,0.8114096250937906,1.4876638016592492
symmetric_contaminated,5,500,200,0.0,53.53106836664365,419.83984502046957,160995.49429122603,0.6925772497463354,1.3752017476205662
symmetric_contaminated,5,1000,200,0.0,16.761384041341373,71.24945195309947,224376.92873251822,0.6041840318227482,1.397683908242188
symmetric_contaminated,5,2500,200,0.0,5.5164509446955154,25.815110422381057,259939.95009983325,0.5619679554383297,1.1011110299911366
symmetric_contaminated,5,5000,200,0.0,3.109122423987877,11.033610828273138,275014.46611061716,0.47738496476373626,0.7765908015137173
symmetric_contaminated,5,20000,200,0.0,1.0138736006804525,2.770570959916161,318567.5140771252,0.3371026773083039,0.6355135258735222
symmetric_contaminated,6,250,200,0.0,6177.080871562462,104944.09224602139,2573354.402074012,1.1187386849549863,1.955118630888579
symmetric_contaminated,6,500,200,0.0,789.6507364604561,7089.344613328173,4072782.284613217,0.8735140114950142,1.5221428864419377
symmetric_contaminated,6,1000,200,0.0,170.8335614339999,1032.8754329676435,6642735.115345897,0.7806670813401573,1.408591525761852
symmetric_contaminated,6,2500,200,0.0,35.76492493120232,189.63861938106587,8116825.388575019,0.6382865793918229,1.0697993270555857
symmetric_contaminated,6,5000,200,0.0,13.42876792406491,56.26766290354064,10507165.36537138,0.5690452899595564,0.8596039024160006
symmetric_contaminated,6,20000,200,0.0,3.3765842521382154,11.70963364580423,11751933.887172438,0.47161041115066993,0.8263273342607365
